GlobalRank,Name,Team,Pos,ECR_Pos,ContractYear,Flag,Notes,PosTier,Bye,SoS_Rank,SoS_Tier,SoS_Label,SF_TEP_Tag,GlobalValue,DurabilityNote,Tier,TierLevel,ADP,ValueDelta
136,Woody Marks,HOU,RB,43,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,8.0,4,1,Very Soft,,-9.5,,7,Tier 7,144.2,8.2
137,Romeo Doubs,NE,WR,48,N,,NEW 8/30: signed with New England after Green Bay passed on re-signing him (rookie Matthew Golden was ready to inherit the role) -- early-down/possession role with the Patriots now,6,11.0,18,3,Neutral,,-9.7,,7,Tier 7,140.3,3.3
138,Xavier Worthy,KC,WR,49,N,SLEEPER,"Only 23; KC lacks depth behind Rice, value rises if Rice sits",6,5.0,15,3,Neutral,,-10.3,,8,Tier 8,140.0,2.0
139,AJ Barner,SEA,TE,22,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,17,3,Neutral,,-10.6,,8,Tier 8,168.1,29.1
140,Keaton Mitchell,LAC,RB,46,N,HANDCUFF,Backs up Omarion Hampton; new OC McDaniel scheme fit,6,7.0,14,3,Neutral,,-10.7,,8,Tier 8,158.4,18.4
141,Jordyn Tyson,NO,WR,54,N,BUST,Injured in all 4 college seasons plus a May injury,6,8.0,11,2,Soft,,-11.1,injured in all 4 college seasons plus a May injury,8,Tier 8,130.1,-10.9
142,Tyjae Spears,TEN,RB,45,Y,DEPTH,Contract year; Pollard's handcuff in Tennessee,6,9.0,3,1,Very Soft,,-11.1,,8,Tier 8,153.4,11.4
143,Jonah Coleman,DEN,RB,48,N,HANDCUFF,"UPDATED 8/30: RB3 behind J.K. Dobbins AND RJ Harvey, but specifically pegged to inherit the 3rd-down passing/pass-block role -- a real if limited-touch role, not a pure emergency stash",6,10.0,30,5,Gauntlet,,-11.1,,8,Tier 8,154.6,11.6
144,Jalen Coker,CAR,WR,50,Y,SLEEPER,UPDATED 8/30: locked in as a starting OUTSIDE WR next to McMillan (not a slot role as previously scouted) -- only the WR3 job behind them is contested,6,5.0,21,4,Tough,,-11.2,,8,Tier 8,142.0,-2.0
145,Daniel Jones,IND,QB,25,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,13.0,12,2,Soft,Superflex Depth,-11.2,,8,Tier 8,114.7,-30.3
146,Matthew Golden,GB,WR,51,N,SLEEPER,"UPDATED 8/30: thin rookie-year production (29/361/0), but camp reports now have him as GB's clear #2/#3 target now that Doubs is gone (signed with NE) -- real opportunity behind Watson",6,11.0,20,4,Tough,,-11.2,,8,Tier 8,125.4,-20.6
147,Khalil Shakir,BUF,WR,52,N,BUST,Snap rate fell 76%->57%; Moore's arrival compresses his target share further,6,7.0,30,5,Gauntlet,,-11.3,,8,Tier 8,144.2,-2.8
148,Zach Charbonnet,SEA,RB,49,Y,DEPTH,"Contract year; recovering from an ACL tear, timeshare with rookie Price unresolved",6,11.0,16,3,Neutral,,-11.6,recovering from an ACL tear,8,Tier 8,151.2,3.2
149,Dylan Sampson,CLE,RB,50,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,29,5,Gauntlet,,-11.9,,8,Tier 8,163.7,14.7
150,T.J. Hockenson,MIN,TE,23,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,6.0,9,2,Soft,,-12.0,,8,Tier 8,164.4,14.4
151,Tank Bigsby,PHI,RB,47,Y,DEPTH,Contract year; Eagles RB2 behind Barkley,6,10.0,6,1,Very Soft,,-12.1,,8,Tier 8,159.1,8.1
152,Oronde Gadsden II,LAC,TE,24,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,7.0,26,4,Tough,,-12.3,,8,Tier 8,162.2,10.2
153,Bryce Young,CAR,QB,26,N,,"NEW 8/30: confirmed Panthers starter, strong/positive camp reports (coach cites 'ownership and mastery of the concepts'), no benching threat found -- the 2024 benching is old news, not current",6,5.0,21,4,Tough,Superflex Depth,-12.7,,8,Tier 8,126.9,-26.1
154,KC Concepcion,CLE,WR,53,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,2,1,Very Soft,,-12.9,,8,Tier 8,125.4,-28.6
155,MarShawn Lloyd,GB,RB,52,N,HANDCUFF,"Josh Jacobs officially charged, suspension likely -- direct beneficiary",6,11.0,8,2,Soft,,-13.6,,9,Tier 9,145.6,-9.4
156,Rashid Shaheed,SEA,WR,56,N,SLEEPER,"NEW 8/30: healthy, no suspension found, viewed as a real breakout/stash candidate who may also retain punt/kick return duties for added floor",6,11.0,17,3,Neutral,,-13.7,,9,Tier 9,148.6,-7.4
157,Kenyon Sadiq,NYJ,TE,25,N,BUST,Sports-hernia recovery ongoing while Mason Taylor gains reps,6,13.0,13,2,Soft,,-13.8,,9,Tier 9,164.8,7.8
158,Deebo Samuel,SF,WR,55,Y,DEPTH,Contract year; multi-purpose 49ers weapon,6,8.0,16,3,Neutral,,-13.9,,9,Tier 9,141.2,-16.8
159,De'Zhaun Stribling,SF,WR,57,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,8.0,16,3,Neutral,,-14.1,,9,Tier 9,120.9,-38.1
160,Isiah Pacheco,DET,RB,51,Y,DEPTH,Contract year; Lions RB2,6,6.0,1,1,Very Soft,,-14.2,,9,Tier 9,166.5,6.5
161,Tyrone Tracy Jr.,NYG,RB,54,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,8.0,12,2,Soft,,-14.2,,9,Tier 9,158.6,-2.4
162,Alvin Kamara,NO,RB,53,Y,DEPTH,Contract year; still New Orleans' starter,6,8.0,18,3,Neutral,,-14.3,,9,Tier 9,162.5,0.5
163,Gunnar Helm,TEN,TE,26,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,9.0,14,3,Neutral,,-14.6,,9,Tier 9,175.9,12.9
164,Adonai Mitchell,NYJ,WR,58,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,13.0,13,2,Soft,,-14.7,,9,Tier 9,171.3,7.3
165,Ray Davis,BUF,RB,58,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,7.0,31,5,Gauntlet,,-14.7,,9,Tier 9,174.2,9.2
166,Pat Freiermuth,PIT,TE,27,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,9.0,25,4,Tough,,-14.9,,9,Tier 9,177.4,11.4
167,Braelon Allen,NYJ,RB,56,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,13.0,13,2,Soft,,-14.9,,9,Tier 9,167.5,0.5
168,Mike Washington Jr.,LV,RB,57,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,13.0,21,4,Tough,,-14.9,,9,Tier 9,145.1,-22.9
169,Jacoby Brissett,ARI,QB,27,Y,DEPTH,Contract year; Arizona's QB1 but a pure streamer,6,14.0,22,4,Tough,Superflex Depth,-15.1,,9,Tier 9,145.9,-23.1
170,Brian Robinson,ATL,RB,55,Y,DEPTH,Contract year; Bijan's direct handcuff in Atlanta,6,11.0,15,3,Neutral,,-15.2,,9,Tier 9,156.6,-13.4
171,Emmett Johnson,KC,RB,59,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,5.0,27,5,Gauntlet,,-15.3,,9,Tier 9,168.1,-2.9
172,Tre Tucker,LV,WR,60,Y,SLEEPER,Contract year; locked in as Raiders' WR1 at a conservative price,6,13.0,31,5,Gauntlet,,-15.4,,9,Tier 9,163.7,-8.3
173,Cade Otton,TB,TE,28,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,10.0,29,5,Gauntlet,,-15.4,,9,Tier 9,176.6,3.6
174,Jalen McMillan,TB,WR,62,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,10.0,29,5,Gauntlet,,-15.5,,9,Tier 9,164.5,-9.5
175,Denzel Boston,CLE,WR,59,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,2,1,Very Soft,,-15.7,,9,Tier 9,158.9,-16.1
176,Kimani Vidal,LAC,RB,60,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,7.0,14,3,Neutral,,-16.2,,10,Tier 10,176.6,0.6
177,David Njoku,LAC,TE,29,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,7.0,26,4,Tough,,-16.3,,10,Tier 10,176.6,-0.4
178,Tre' Harris,LAC,WR,64,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,7.0,26,4,Tough,,-16.4,,10,Tier 10,175.3,-2.7
179,Jerry Jeudy,CLE,WR,61,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,2,1,Very Soft,,-16.5,,10,Tier 10,168.3,-10.7
180,Geno Smith,NYJ,QB,28,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,13.0,13,2,Soft,Superflex Depth,-16.5,,10,Tier 10,147.6,-32.4
181,Kaytron Allen,WAS,RB,64,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,7.0,24,4,Tough,,-16.9,,10,Tier 10,173.7,-7.3
182,Nicholas Singleton,TEN,RB,61,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,9.0,3,1,Very Soft,,-17.1,,10,Tier 10,174.9,-7.1
183,Jaydon Blue,DAL,RB,63,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,14.0,11,2,Soft,,-17.3,,10,Tier 10,173.7,-9.3
184,Sean Tucker,TB,RB,62,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,10.0,5,1,Very Soft,,-17.4,,10,Tier 10,177.3,-6.7
185,George Holani,SEA,RB,65,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,16,3,Neutral,,-17.6,,10,Tier 10,175.4,-9.6
186,Jauan Jennings,MIN,WR,63,Y,BUST,Contract year; excellent blocker but caps his own target share behind Addison,6,6.0,9,2,Soft,,-17.8,,10,Tier 10,170.4,-15.6
187,Dontayvion Wicks,PHI,WR,65,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,10.0,3,1,Very Soft,,-18.0,,10,Tier 10,171.3,-15.7
188,Jaylen Wright,MIA,RB,68,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,6.0,22,4,Tough,,-18.1,,10,Tier 10,180.0,-8.0
189,Aaron Rodgers,PIT,QB,29,Y,DEPTH,"Contract year; age 42, late-round streamer only",6,9.0,25,4,Tough,Superflex Depth,-18.3,,10,Tier 10,143.3,-45.7
190,James Conner,ARI,RB,66,Y,DEPTH,Contract year; Arizona's early-down/goal-line starter,6,14.0,25,4,Tough,,-18.3,,10,Tier 10,171.5,-18.5
191,Jalen Nailor,LV,WR,71,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,13.0,31,5,Gauntlet,,-18.4,,10,Tier 10,162.2,-28.8
192,Malik Washington,MIA,WR,70,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,6.0,24,4,Tough,,-18.5,,10,Tier 10,166.5,-25.5
193,Kaelon Black,SF,RB,69,N,HANDCUFF,Competing for McCaffrey's direct backup job,6,8.0,19,3,Neutral,,-18.5,,10,Tier 10,166.8,-26.2
194,Colby Parkinson,LAR,TE,31,Y,DEPTH,Contract year; Rams TE2,6,11.0,23,4,Tough,,-18.6,,10,Tier 10,174.4,-19.6
195,Fernando Mendoza,LV,QB,30,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,13.0,31,5,Gauntlet,Superflex Depth,-18.6,,10,Tier 10,134.6,-60.4
196,Evan Engram,DEN,TE,30,Y,DEPTH,Contract year; Broncos starting TE,6,10.0,10,2,Soft,,-18.7,,10,Tier 10,176.8,-19.2
197,Pat Bryant,DEN,WR,68,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,10.0,10,2,Soft,,-18.7,,10,Tier 10,172.1,-24.9
198,Omar Cooper Jr.,NYJ,WR,69,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,13.0,13,2,Soft,,-18.9,,10,Tier 10,169.3,-28.7
199,Emanuel Wilson,SEA,RB,67,Y,DEPTH,Contract year; Seattle depth behind the Price/Charbonnet battle,6,11.0,16,3,Neutral,,-19.1,,10,Tier 10,,
200,Greg Dulcich,MIA,TE,32,Y,DEPTH,Contract year; Dolphins starting TE,6,6.0,24,4,Tough,,-19.2,,10,Tier 10,176.6,-23.4
201,Kayshon Boutte,HOU,WR,66,Y,DEPTH,Contract year; Texans depth,6,8.0,5,1,Very Soft,,-19.2,,10,Tier 10,167.7,-33.3
202,Ryan Flournoy,DAL,WR,67,Y,DEPTH,Contract year; Cowboys depth,6,14.0,8,2,Soft,,-19.4,,10,Tier 10,175.9,-26.1
203,Mason Taylor,NYJ,TE,33,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,13.0,13,2,Soft,,-19.5,,10,Tier 10,,
204,Jordan James,SF,RB,73,N,HANDCUFF,Competing for McCaffrey's direct backup job,6,8.0,19,3,Neutral,,-19.5,,10,Tier 10,176.3,-27.7
205,Justice Hill,BAL,RB,70,Y,DEPTH,Contract year; Ravens passing-down back,6,13.0,20,4,Tough,,-19.7,,10,Tier 10,172.1,-32.9
206,Travis Hunter,JAC,WR,75,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,7.0,27,5,Gauntlet,,-19.8,,10,Tier 10,168.0,-38.0
207,Calvin Ridley,TEN,WR,72,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,9.0,14,3,Neutral,,-19.8,,10,Tier 10,174.7,-32.3
208,Chris Brooks,GB,RB,72,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,8,2,Soft,,-20.0,,10,Tier 10,,
209,Samaje Perine,CIN,RB,75,Y,DEPTH,Contract year; Bengals passing-down depth,6,6.0,32,5,Gauntlet,,-20.1,,10,Tier 10,178.9,-30.1
210,Ollie Gordon II,MIA,RB,77,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,6.0,22,4,Tough,,-20.2,,10,Tier 10,,
211,Demond Claiborne,MIN,RB,74,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,6.0,10,2,Soft,,-20.3,,10,Tier 10,175.8,-35.2
212,Najee Harris,NYG,RB,71,Y,DEPTH,Contract year; Giants early-down back,6,8.0,12,2,Soft,,-20.4,,10,Tier 10,174.5,-37.5
213,Isaac TeSlaa,DET,WR,79,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,6.0,32,5,Gauntlet,,-20.6,,10,Tier 10,173.6,-39.4
214,Isaiah Davis,NYJ,RB,76,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,13.0,13,2,Soft,,-20.6,,10,Tier 10,,
215,LeQuint Allen,JAC,RB,80,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,7.0,23,4,Tough,,-20.7,,10,Tier 10,,
216,DJ Giddens,IND,RB,81,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,13.0,26,4,Tough,,-20.7,,10,Tier 10,,
217,Theo Johnson,NYG,TE,34,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,8.0,1,1,Very Soft,,-20.9,,10,Tier 10,,
218,Ty Johnson,BUF,RB,79,Y,DEPTH,Contract year; Bills RB depth,6,7.0,31,5,Gauntlet,,-21.0,,10,Tier 10,,
219,Jaylin Noel,HOU,WR,74,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,8.0,5,1,Very Soft,,-21.0,,10,Tier 10,178.6,-40.4
220,Darren Waller,CAR,TE,37,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,5.0,21,4,Tough,,-21.1,,10,Tier 10,176.9,-43.1
221,Malik Davis,DAL,RB,78,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,14.0,11,2,Soft,,-21.1,,10,Tier 10,,
222,Seth McGowan,IND,RB,83,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,13.0,26,4,Tough,,-21.1,,10,Tier 10,,
223,Keenan Allen,IND,WR,73,Y,FLOOR,Contract year; still commands 120+ targets in a crowded room,6,13.0,12,2,Soft,,-21.2,,10,Tier 10,163.6,-59.4
224,Eli Stowers,PHI,TE,35,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,10.0,3,1,Very Soft,,-21.3,,10,Tier 10,174.4,-49.6
225,Cooper Kupp,SEA,WR,78,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,17,3,Neutral,,-21.3,,10,Tier 10,173.3,-51.7
226,Emari Demercado,KC,RB,85,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,5.0,27,5,Gauntlet,,-21.4,,10,Tier 10,,
227,Tyreek Hill,FA,WR,112,N,BUST,Severe 2025 knee injury (dislocation + multi-ligament); unsigned FA; real chance he's done -- avoid entirely,6,,16,3,N/A (FA),,-21.5,"severe 2025 multi-ligament knee injury, unsigned FA",10,Tier 10,174.5,-52.5
228,Germie Bernard,PIT,WR,81,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,9.0,25,4,Tough,,-21.6,,10,Tier 10,,
229,Mike Gesicki,CIN,TE,36,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,6.0,6,1,Very Soft,,-21.6,,10,Tier 10,,
230,Chris Bell,MIA,WR,88,N,SLEEPER,Post-ACL; could be Miami's top size/speed WR if healthy,6,6.0,24,4,Tough,,-21.7,post-ACL,10,Tier 10,175.5,-54.5
231,Adam Randall,BAL,RB,84,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,13.0,20,4,Tough,,-21.7,,10,Tier 10,,
232,Rashod Bateman,BAL,WR,76,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,13.0,4,1,Very Soft,,-21.7,,10,Tier 10,175.3,-56.7
233,Brashard Smith,KC,RB,87,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,5.0,27,5,Gauntlet,,-21.8,,10,Tier 10,,
234,Tua Tagovailoa,ATL,QB,31,Y,DEPTH,"Contract year; now Atlanta's QB1 by depth chart, unproven fit",6,11.0,19,3,Neutral,Superflex Depth,-21.8,,10,Tier 10,164.1,-69.9
235,Jake Tonges,SF,TE,38,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,8.0,16,3,Neutral,,-21.9,,10,Tier 10,176.5,-58.5
236,Tahj Brooks,CIN,RB,90,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,6.0,32,5,Gauntlet,,-21.9,,10,Tier 10,,
237,Michael Penix Jr.,ATL,QB,32,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,19,3,Neutral,Superflex Depth,-22.1,,10,Tier 10,168.1,-68.9
238,Devin Neal,NO,RB,86,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,8.0,18,3,Neutral,,-22.2,,10,Tier 10,,
239,Zachariah Branch,ATL,WR,82,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,19,3,Neutral,,-22.3,,10,Tier 10,172.5,-66.5
240,Keon Coleman,BUF,WR,86,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,7.0,30,5,Gauntlet,,-22.4,,10,Tier 10,175.8,-64.2
241,Kendre Miller,NO,RB,82,Y,DEPTH,Contract year; Kamara's handcuff in New Orleans,6,8.0,18,3,Neutral,,-22.6,,10,Tier 10,176.9,-64.1
242,Trey Benson,ARI,RB,91,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,14.0,25,4,Tough,,-22.6,,10,Tier 10,179.6,-62.4
243,Darnell Washington,PIT,TE,39,Y,DEPTH,Contract year; Steelers blocking-TE2,6,9.0,25,4,Tough,,-22.8,,10,Tier 10,,
244,Charlie Kolar,LAC,TE,42,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,7.0,26,4,Tough,,-22.8,,10,Tier 10,,
245,Tank Dell,HOU,WR,77,Y,DEPTH,"Contract year; Texans depth, buried in a crowded room",6,8.0,5,1,Very Soft,,-23.0,,10,Tier 10,169.6,-75.4
246,Jack Bech,LV,WR,89,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,13.0,31,5,Gauntlet,,-23.0,,10,Tier 10,,
247,Devin Singletary,NYG,RB,88,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,8.0,12,2,Soft,,-23.0,,10,Tier 10,,
248,Jarquez Hunter,MIA,RB,93,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,6.0,22,4,Tough,,-23.1,,10,Tier 10,,
249,Michael Mayer,LV,TE,41,Y,DEPTH,Contract year; Raiders TE2,6,13.0,31,5,Gauntlet,,-23.1,,10,Tier 10,,
250,Oscar Delp,NO,TE,40,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,8.0,11,2,Soft,,-23.1,,10,Tier 10,,
251,Jaleel McLaughlin,DEN,RB,97,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,10.0,30,5,Gauntlet,,-23.1,,10,Tier 10,,
252,Jerome Ford,WAS,RB,94,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,7.0,24,4,Tough,,-23.1,,10,Tier 10,,
253,Troy Franklin,DEN,WR,83,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,10.0,10,2,Soft,,-23.2,,10,Tier 10,174.4,-78.6
254,Devaughn Vele,NO,WR,84,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,8.0,11,2,Soft,,-23.4,,10,Tier 10,170.7,-83.3
255,Ted Hurst III,TB,WR,91,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,10.0,29,5,Gauntlet,,-23.6,,10,Tier 10,,
256,Trevor Etienne,CAR,RB,89,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,5.0,7,2,Soft,,-23.6,,10,Tier 10,,
257,Isaac Guerendo,SF,RB,95,N,HANDCUFF,Competing for McCaffrey's direct backup job,6,8.0,19,3,Neutral,,-23.7,,10,Tier 10,,
258,Kirk Cousins,LV,QB,33,Y,DEPTH,"Contract year; age 38, backup in Las Vegas",6,13.0,31,5,Gauntlet,Superflex Depth,-23.7,,10,Tier 10,165.9,-92.1
259,Elijah Arroyo,SEA,TE,43,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,17,3,Neutral,,-23.8,,10,Tier 10,,
260,Audric Estime,NO,RB,96,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,8.0,18,3,Neutral,,-23.9,,10,Tier 10,,
261,Cole Kmet,CHI,TE,46,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,10.0,28,5,Gauntlet,,-24.0,,10,Tier 10,,
262,Kaleb Johnson,PIT,RB,92,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,9.0,9,2,Soft,,-24.0,,10,Tier 10,,
263,Bam Knight,ARI,RB,101,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,14.0,25,4,Tough,,-24.1,,10,Tier 10,,
264,Dawson Knox,BUF,TE,47,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,7.0,30,5,Gauntlet,,-24.1,,10,Tier 10,,
265,Darnell Mooney,NYG,WR,80,Y,DEPTH,Contract year; Giants WR2,6,8.0,1,1,Very Soft,,-24.2,,10,Tier 10,181.7,-83.3
266,Raheim Sanders,CLE,RB,105,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,29,5,Gauntlet,,-24.3,,10,Tier 10,,
267,Malachi Fields,NYG,WR,85,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,8.0,1,1,Very Soft,,-24.4,,10,Tier 10,171.3,-95.7
268,Eli Raridon,NE,TE,45,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,18,3,Neutral,,-24.5,,10,Tier 10,,
269,Kareem Hunt,FA,RB,99,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,,16,3,N/A (FA),,-24.5,,10,Tier 10,,
270,Joe Mixon,FA,RB,100,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,,16,3,N/A (FA),,-24.6,,10,Tier 10,,
271,Ja'Kobi Lane,BAL,WR,87,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,13.0,4,1,Very Soft,,-24.7,,10,Tier 10,158.5,-112.5
272,Caleb Douglas,MIA,WR,95,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,6.0,24,4,Tough,,-24.9,,10,Tier 10,171.1,-100.9
273,Elic Ayomanor,TEN,WR,92,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,9.0,14,3,Neutral,,-25.0,,10,Tier 10,,
274,Tyler Higbee,LAR,TE,48,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,23,4,Tough,,-25.0,,10,Tier 10,,
275,Tory Horton,SEA,WR,93,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,17,3,Neutral,,-25.0,,10,Tier 10,175.1,-99.9
276,Antonio Williams,WAS,WR,90,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,7.0,7,2,Soft,,-25.1,,10,Tier 10,174.4,-101.6
277,Erick All Jr.,CIN,TE,44,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,6.0,6,1,Very Soft,,-25.1,,10,Tier 10,,
278,Will Shipley,PHI,RB,98,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,10.0,6,1,Very Soft,,-25.1,,10,Tier 10,,
279,Tyquan Thornton,KC,WR,94,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,5.0,15,3,Neutral,,-25.4,,10,Tier 10,,
280,Eli Heidenreich,PIT,RB,102,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,9.0,9,2,Soft,,-25.5,,10,Tier 10,,
281,Max Klare,LAR,TE,50,N,,ECR-ranked; no dedicated situational research yet -- verify news/depth chart closer to draft time.,6,11.0,23,4,Tough,,-25.6,,10,Tier 10,,
